iter	Logloss
207	0.2491499682
208	0.2490387121
209	0.2489303768
210	0.2488466033
211	0.2487869841
212	0.2486620084
213	0.2485299398
214	0.2484151185
215	0.2482663321
216	0.2481644481
217	0.2480422074
218	0.2478839791
219	0.2477371234
220	0.2476798205
221	0.2476191643
222	0.2474761983
223	0.2473694586
224	0.2472966593
225	0.2471895442
226	0.2470078324
227	0.2469393112
228	0.2467942364
229	0.2467064084
230	0.2466389502
231	0.2464280892
232	0.2463227486
233	0.2461776516
234	0.2460725638
235	0.2459360294
236	0.2457545969
237	0.2456527208
238	0.2455179097
239	0.245426545
240	0.2453446189
241	0.2452850373
242	0.2450879254
243	0.2449162861
244	0.2448342194
245	0.2447341184
246	0.2445655467
247	0.2444571124
248	0.2444016222
249	0.2443220268
250	0.2442592453
251	0.2441690041
252	0.2440118555
253	0.2439081746
254	0.2437151074
255	0.2436835344
256	0.2436240232
257	0.2434837506
258	0.2434288368
259	0.2432888264
260	0.2431546999
261	0.2430862361
262	0.2429610795
263	0.2428928366
264	0.2428065209
265	0.2426754667
266	0.2426460545
267	0.2425024651
268	0.2424294111
269	0.2422861115
270	0.2422333391
271	0.2421885545
272	0.2421285585
273	0.2420819652
274	0.2419448256
275	0.2417559297
276	0.2416200954
277	0.2414875349
278	0.2413653174
279	0.2412067681
280	0.2410759036
281	0.2409370371
282	0.2408790543
283	0.2407493829
284	0.2406649238
285	0.240545333
286	0.2403776533
287	0.2402818771
288	0.2401843533
289	0.2400964911
290	0.2399620139
291	0.2399004401
292	0.2397858697
293	0.2396911967
294	0.2396249367
295	0.2394855613
296	0.239430008
297	0.2392856276
298	0.2391877786
299	0.2390485155
300	0.2389451419
301	0.2388621326
302	0.2387919922
303	0.2386958487
304	0.2385773381
305	0.2384500234
306	0.2384332369
307	0.2382540538
308	0.238184263
309	0.238090064
310	0.2380424645
311	0.2379744692
312	0.2378524013
313	0.237769342
314	0.2376605336
315	0.2375482287
316	0.2374141081
317	0.2373580043
318	0.2373127771
319	0.2371364584
320	0.2370550908
321	0.2369397879
322	0.2368869304
323	0.2368022321
324	0.2367230244
325	0.2365976489
326	0.2364871608
327	0.2364736822
328	0.2363178265
329	0.2361467479
330	0.2360166289
331	0.2358760522
332	0.2358167099
333	0.2356866912
334	0.2355389744
335	0.2353761446
336	0.2351811609
337	0.235012472
338	0.2349455168
339	0.2348601024
340	0.2347599267
